BLItemNo	ElementId	LdrawId	PartName	BLColorId	LDrawColorId	ColorName	ColorCategory	Qty	Weight
64178	4540797	64178	Technic, Liftarm 5 x 11 Open Center Frame Thick	86	71	Light Bluish Gray	Solid Colors	5	7.0
64179	4539880	64179	Technic, Liftarm 5 x 7 Open Center Frame Thick	86	71	Light Bluish Gray	Solid Colors	13	5.3
6558	4514553	6558	Technic, Pin 3L with Friction Ridges Lengthwise	7	1	Blue	Solid Colors	54	0.31
6629	4112282	6629	Technic, Liftarm 1 x 9 Bent (6 - 4) Thick	11	0	Black	Solid Colors	2	2.6
87083	6083620	87083	Technic, Axle 4 with Stop	85	72	Dark Bluish Gray	Solid Colors	1	0.59
87087	4558953	87087	Brick, Modified 1 x 1 with Stud on 1 Side	86	71	Light Bluish Gray	Solid Colors	1	0.45
4532	4610112	4532	Container, Cupboard 2 x 3 x 2	86	71	Light Bluish Gray	Solid Colors	2	2.5
95228	6247369	95228	Minifig, Utensil Bottle	12	47	Trans-Clear	Transparent Colors	1	0.55
98138	6009460	98138	Tile, Round 1 x 1	7	1	Blue	Solid Colors	1	0.11
98138	6070714	98138	Tile, Round 1 x 1	3	14	Yellow	Solid Colors	1	0.11
98138	6284071	98138	Tile, Round 1 x 1	86	71	Light Bluish Gray	Solid Colors	1	0.11
98138		98138	Tile, Round 1 x 1	8	6	Brown	Solid Colors	1	0.11
99781	4654582	99781	Bracket 1 x 2 - 1 x 2	86	71	Light Bluish Gray	Solid Colors	1	0.55
3062old		3062old	Brick, Round 1 x 1 Old - No Bottom Lip	12	47	Trans-Clear	Transparent Colors	2	0.4
									
Total qty	Total Weight								
428	506.9109								
